"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-01-01",,,,,,,"0.00",",,0,1800","0.0",",,0,","59.0",",,0,1800","28",",,0","-5",",,0","21",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-01-02",,,,,,,"0.00",",,0,1800","0.0","P,,0,","54.0",",,0,1800","33",",,0","-5",",,0","25",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-01-03",,,,,,,"0.00",",,0,1800","0.0",",,0,","42.0",",,0,1800","32",",,0","22",",,0","28",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-01-04",,,,,,,"0.00",",,0,1800","0.0",",,0,","42.0",",,0,1800","35",",,0","22",",,0","31",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-01-05",,,,,,,"2.50",",,0,1800","10.0",",,0,","60.0",",,0,1800","35",",,0","10",",,0","11",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-01-06",,,,,,,"1.12",",,0,1800","10.0",",,0,","72.0",",,0,1800","22",",,0","8",",,0","12",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-01-07",,,,,,,"0.00","T,,0,1800",,,"68.0",",,0,1800","19",",,0","2",",,0","12",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-01-08",,,,,,,"2.00",",,0,1800","3.5",",,0,","67.0",",,0,1800","24",",,0","3",",,0","24",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-01-09",,,,,,,"1.65",",,0,1800","21.0",",,0,","86.0",",,0,1800","24",",,0","11",",,0","11",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-01-10",,,,,,,"0.10",",,0,1800","2.0",",,0,","80.0",",,0,1800","22",",,0","6",",,0","22",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-01-11",,,,,,,"1.23",",,0,1800","13.0",",,0,","88.0",",,0,1800","24",",,0","0",",,0","18",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-01-12",,,,,,,"0.25",",,0,1800","3.0",",,0,","87.0",",,0,1800","23",",,0","13",",,0","13",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2008-01-13",,,,,,,"0.21",",,0,1800","3.0",",,0,","88.0",",,0,1800","23",",,0","12",",,0","12",",,0,1800",,,,,,,,,,,,
